time,a_angle,g_angle,bbb_angle
0.000000,0.000000,0.000000,0.000000
0.100000,0.019779,0.020996,0.018824
0.200000,0.002415,0.027590,0.024150
0.300000,-0.002830,0.025662,0.019801
0.400000,0.002112,0.028272,0.020172
0.500000,0.007596,0.028219,0.018514
0.600000,0.000603,0.027122,0.015363
0.700000,-0.001688,0.029806,0.016326
0.800000,0.004358,0.039905,0.024343
0.900000,0.017230,0.058504,0.040947
1.000000,0.056134,0.081131,0.061894
1.100000,0.068469,0.108231,0.087372
1.200000,0.112066,0.149851,0.126701
1.300000,0.181252,0.204701,0.179924
1.400000,0.219897,0.256846,0.231383
1.500000,0.277079,0.306871,0.280551
1.600000,0.331221,0.357588,0.330149
1.700000,0.373158,0.410212,0.382055
1.800000,0.439263,0.468621,0.439228
1.900000,0.508198,0.534188,0.504431
2.000000,0.575581,0.589528,0.560553
2.100000,0.606209,0.623670,0.595523
2.200000,0.624066,0.643825,0.616684
2.300000,0.625322,0.661657,0.634447
2.400000,0.679199,0.693455,0.666052
2.500000,0.694238,0.717509,0.690852
2.600000,0.718178,0.743171,0.716769
2.700000,0.739745,0.761504,0.736013
2.800000,0.733339,0.761781,0.737261
2.900000,0.742701,0.761281,0.736995
3.000000,0.750851,0.769292,0.744959
3.100000,0.766951,0.780040,0.756054
3.200000,0.767812,0.782480,0.759029
3.300000,0.768303,0.783555,0.760393
3.400000,0.776314,0.774479,0.752381
3.500000,0.717161,0.734298,0.713949
3.600000,0.650643,0.678414,0.659518
3.700000,0.603531,0.616618,0.598828
3.800000,0.564485,0.546076,0.529929
3.900000,0.559868,0.480999,0.464687
4.000000,0.422496,0.410148,0.398412
4.100000,0.301774,0.296208,0.286715
4.200000,0.155747,0.171391,0.162920
4.300000,0.038648,0.059943,0.050544
4.400000,-0.063794,-0.018354,-0.028201
4.500000,-0.141529,-0.114782,-0.123781
4.600000,-0.230702,-0.220073,-0.227318
4.700000,-0.384404,-0.341278,-0.348005
4.800000,-0.472234,-0.444268,-0.452498
4.900000,-0.564614,-0.532696,-0.541362
5.000000,-0.607288,-0.605752,-0.614852
5.100000,-0.787614,-0.678285,-0.689013
5.200000,-0.772800,-0.732699,-0.743314
5.300000,-0.827433,-0.760779,-0.772896
5.400000,-0.800873,-0.782394,-0.796187
5.500000,-0.831055,-0.794580,-0.809225
5.600000,-0.811808,-0.798937,-0.813766
5.700000,-0.843354,-0.810431,-0.824714
5.800000,-0.872792,-0.822991,-0.837668
5.900000,-0.834671,-0.829840,-0.844975
6.000000,-0.856736,-0.836509,-0.851350
6.100000,-0.864830,-0.844083,-0.859179
6.200000,-0.865435,-0.850986,-0.866508
6.300000,-0.869746,-0.852243,-0.868035
6.400000,-0.867716,-0.848664,-0.864786
6.500000,-0.893197,-0.833739,-0.850592
6.600000,-0.802235,-0.789371,-0.807835
6.700000,-0.800139,-0.748060,-0.764673
6.800000,-0.792857,-0.701082,-0.720150
6.900000,-0.763644,-0.648661,-0.668785
7.000000,-0.610765,-0.580058,-0.603403
7.100000,-0.532127,-0.496978,-0.521942
7.200000,-0.411224,-0.397791,-0.424232
7.300000,-0.323566,-0.314168,-0.339061
7.400000,-0.279574,-0.255131,-0.279634
7.500000,-0.216913,-0.193846,-0.218979
7.600000,-0.144994,-0.131315,-0.156619
7.700000,-0.077403,-0.077498,-0.102187
7.800000,-0.055321,-0.040373,-0.063513
7.900000,-0.039331,-0.018557,-0.041178
8.000000,-0.024260,-0.008714,-0.030398
8.100000,-0.023027,-0.002865,-0.024452
8.200000,-0.012875,-0.001427,-0.022234
8.300000,-0.023436,0.000085,-0.021660
8.400000,-0.003429,0.011953,-0.009487
8.500000,-0.001263,0.011484,-0.009292
8.600000,-0.019474,0.008629,-0.012084
8.700000,-0.013818,0.011132,-0.009951
8.800000,-0.000726,0.003782,-0.017039
8.900000,-0.026440,0.001172,-0.019252
9.000000,-0.009575,0.000948,-0.019224
9.100000,-0.026040,-0.005188,-0.025183
9.200000,-0.024324,-0.004144,-0.024762
9.300000,-0.020015,-0.002503,-0.022917
9.400000,-0.027776,-0.004804,-0.024898
9.500000,-0.030120,-0.004708,-0.024981
9.600000,-0.021200,-0.006434,-0.026352
9.700000,-0.039755,-0.009917,-0.030129
9.800000,-0.026631,-0.007766,-0.028183
9.900000,-0.033762,-0.009694,-0.029809
10.000000,-0.037250,-0.013294,-0.033625
10.100000,-0.035632,-0.013305,-0.033762
10.200000,-0.038250,-0.013028,-0.033498
10.300000,-0.037848,-0.012868,-0.033441
10.400000,-0.034918,-0.014349,-0.034684
10.500000,-0.041147,-0.014114,-0.034724
10.600000,-0.040282,-0.013603,-0.034280
10.700000,-0.034014,-0.012602,-0.033447
10.800000,-0.019722,-0.008511,-0.029558
10.900000,-0.029025,-0.008714,-0.029333
11.000000,-0.036193,-0.008959,-0.029992
