time,accel_angle,gyro_angle
0.000000,-0.000000,0.000000
0.100000,0.006125,0.001119
0.200000,0.012798,0.001438
0.300000,0.016012,0.003675
0.400000,0.018553,0.004314
0.500000,0.020318,0.005060
0.600000,0.023898,0.003249
0.700000,0.016913,0.003941
0.800000,0.010407,0.004634
0.900000,0.027968,0.009694
1.000000,0.025066,0.018216
1.100000,0.029288,0.030094
1.200000,0.046607,0.035899
1.300000,0.058653,0.047404
1.400000,0.081743,0.063703
1.500000,0.081041,0.079415
1.600000,0.095383,0.098910
1.700000,0.124407,0.122985
1.800000,0.151949,0.145196
1.900000,0.168706,0.165755
2.000000,0.198020,0.190150
2.100000,0.224651,0.211508
2.200000,0.243716,0.227061
2.300000,0.241525,0.238087
2.400000,0.262351,0.251030
2.500000,0.275225,0.265198
2.600000,0.276438,0.279366
2.700000,0.302264,0.294120
2.800000,0.313845,0.314093
2.900000,0.359338,0.338435
3.000000,0.360351,0.354840
3.100000,0.360276,0.371245
3.200000,0.387976,0.399687
3.300000,0.413256,0.420886
3.400000,0.424776,0.439475
3.500000,0.567963,0.478570
3.600000,0.441090,0.487785
3.700000,0.504515,0.504935
3.800000,0.509496,0.525388
3.900000,0.534032,0.551168
4.000000,0.560326,0.564111
4.100000,0.584038,0.583925
4.200000,0.654289,0.605603
4.300000,0.618105,0.626908
4.400000,0.636090,0.645497
4.500000,0.632882,0.658759
4.600000,0.649471,0.673247
4.700000,0.684051,0.689066
4.800000,0.683031,0.698867
4.900000,0.692194,0.707389
5.000000,0.704074,0.719533
5.100000,0.711481,0.728002
5.200000,0.725137,0.734287
5.300000,0.727303,0.737429
5.400000,0.735240,0.741318
5.500000,0.733462,0.743661
5.600000,0.732430,0.746005
5.700000,0.732230,0.747709
5.800000,0.738424,0.749627
5.900000,0.740709,0.751065
6.000000,0.739977,0.752130
6.100000,0.737593,0.753568
6.200000,0.747005,0.755059
6.300000,0.741758,0.755379
6.400000,0.747700,0.756764
6.500000,0.743142,0.762143
6.600000,0.747530,0.761930
6.700000,0.754731,0.762143
6.800000,0.742152,0.761504
6.900000,0.750457,0.762250
7.000000,0.743500,0.764167
7.100000,0.744772,0.766511
7.200000,0.752015,0.766404
7.300000,0.756873,0.763315
7.400000,0.744911,0.759427
7.500000,0.748235,0.756284
7.600000,0.723836,0.754154
7.700000,0.728431,0.747070
7.800000,0.739012,0.738441
7.900000,0.725394,0.729280
8.000000,0.719282,0.721237
8.100000,0.716401,0.714846
8.200000,0.683089,0.706377
8.300000,0.695866,0.699293
8.400000,0.691875,0.685498
8.500000,0.668451,0.671649
8.600000,0.649019,0.655244
8.700000,0.640824,0.642035
8.800000,0.628400,0.630743
8.900000,0.624977,0.615776
9.000000,0.598596,0.605443
9.100000,0.593371,0.588345
9.200000,0.559506,0.565975
9.300000,0.554266,0.550742
9.400000,0.535490,0.531673
9.500000,0.514725,0.515268
9.600000,0.503747,0.497478
9.700000,0.470136,0.473883
9.800000,0.453394,0.453057
9.900000,0.438990,0.431965
10.000000,0.413330,0.410872
10.100000,0.396312,0.385892
10.200000,0.374465,0.362403
10.300000,0.342996,0.345625
